Title,Page,Level
"Justifying Constraints on Criminal Law Powers and Group Charter Exercise (October 4)",136,1
"Stuart/Coughlan/Dufraimont, pages 136-143",136,2
"Topic: Sources of Criminal Law",136,2
"(iii) Oakes Test for Section 1",136,3
"R. v. Oakes",136,4
"R. v. J. (K.R.)",137,4
"Introduction and Classification of Offences (October 9)",142,1
"Stuart/Coughlan/Dufraimont, pages 142-154",142,2
"Topic: Procedural Overview",142,2
"(a) Classification of Offences and Mode of Trial",143,3
"(i) Offences Triable Only on Indictment",143,4
"(ii) Summary Conviction Offences",144,4
"(iii) Crown Election Offences (dual, hybrid)",145,4
"The Presumption of Innocence (October 11)",154,1
"Stuart/Coughlan/Dufraimont, pages 154-174",154,2
"Topic: Procedural Overview",154,2
"(b) Presumption of Innocence",154,3
"(i) Common Law",154,4
"Woolmington v. D.P.P.",154,5
"(ii) Reasonable Doubt",154,4
"R. v. Lifchus",154,5
"R. v. Starr",157,5
"R. v. S. (J.H.)",158,5
"The Roles and Responsibilities of Judges and Lawyers (October 16)",175,1
"Stuart/Coughlan/Dufraimont, pages 175-190",175,2
"Topic: Roles and Responsibilities of Judges and Lawyers",175,2
"(a) The Adversary System",175,3
"Coughlan, The 'Adversary System': Rhetoric or Reality?",178,4
"(b) Ethical Obligations of Crown and Defence Counsel",181,3
"Federation of Law Societies of Canada, Model Code of Professional Conduct (2022)",181,4
"Cory, The Inquiry Regarding Thomas Sophonow",183,4
"Conduct: Consent (October 23)",217,1
"Stuart/Coughlan/Dufraimont, pages 217 (bottom) - 231 (middle)",217,2
"Topic: The Act Requirement (Actus Reus)",217,2
"(d) Consent Making Act Lawful",218,3
"R. v. Jobidon",218,4
"Conduct: Limits on Consent (October 25)",231,1
"Stuart/Coughlan/Dufraimont, pages 231 (middle) - 246 (middle)",231,2
"Topic: The Act Requirement (Actus Reus)",231,2
"(d) Consent Making Act Lawful (continued)",233,3
"R. v. Mabior",233,4
"Conduct: Omissions (October 30)",251,1
"Stuart/Coughlan/Dufraimont, pages 251-255, 260-267",251,2
"Topic: Omissions — Legal Duties to Act",251,2
"R. v. Thornton (Ont. C.A.)",260,4
"Thornton v. R. (S.C.C.)",264,4
"R. v. Browne",264,4
"Conduct: Voluntariness (November 1)",268,1
"Stuart/Coughlan/Dufraimont, pages 268-274",268,2
"Topic: Voluntariness",268,2
"R. v. King",268,4
"Conduct: Causation (November 13)",277,1
"Stuart/Coughlan/Dufraimont, pages 277-292",277,2
"Topic: Causation",277,2
"Smithers v. R.",277,4
"R. v. Harbottle",284,4
"Conduct: Causation (Intervening Cause) (November 15)",293,1
"Stuart/Coughlan/Dufraimont, pages 293-308 (top)",293,2
"Topic: Causation (continued)",293,2
"R. v. Blaue",296,4
"Fault: The Distinction Between Subjective and Objective Fault (November 20)",311,1
"Stuart/Coughlan/Dufraimont, pages 311-320 and 329-336",311,2
"Topic: Fault Requirement (Mens Rea or Negligence)",311,2
"(a) Crimes Requiring Subjective Awareness",313,3
"R. v. Zora",313,4
"Fault for Regulatory Offences: Absolute and Strict Liability (November 22)",320,1
"Stuart/Coughlan/Dufraimont, pages 320 (bottom) - 328 and 341 (bottom) - 356",320,2
"Topic: Fault for Public Welfare (Regulatory) Offences",320,2
"(a) Common Law",320,3
"Beaver v. R.",320,4
"R. v. City of Sault Ste. Marie",329,4
