Title,Page,Level
"(e) De Minimis Non Curat Lex",246,3
"R. v. Kubassek",247,4
"3. OMISSIONS — LEGAL DUTIES TO ACT",251,2
"(a) Acts, Omissions, and Simultaneity",251,3
"Ryan, Criminal Responsibility for Omissions",252,4
"Fagan v. Commissioner of Metropolitan Police",255,4
"R. v. Miller",258,4
"(b) How Do Legal Duties Arise?",260,3
"R. v. Thornton (Ont. C.A.)",260,4
"Thornton v. R. (S.C.C.)",264,4
"R. v. Browne",264,4
"4. VOLUNTARINESS",268,2
"(a) Defining Conduct That Is Not “Voluntary”",268,3
"R. v. King",268,4
"Patient, Some Remarks about the Element of Voluntariness in Offences of Absolute Liability",269,4
"(b) Examples Associated with Mental Disorder",270,3
"Rabey v. R.",270,4
"R. v. Parks",271,4
"R. v. Stone",271,4
"(c) Examples Not Associated with Mental Disorder",271,3
"R. v. Lucki",271,4
"R. v. Swaby",272,4
"R. v. Wolfe",274,4
"R. v. Ryan",274,4
"5. CAUSATION",277,2
"(a) Criminal Code",277,3
"(b) Common Law",277,3
"Smithers v. R.",277,4
"R. v. Harbottle",284,4
"R. v. Nette",286,4
"(c) Charter",292,3
"(d) Cases of Intervening Cause",293,3
"R. v. Smith",293,4
"R. v. Blaue",296,4
"R. v. Maybin",299,4
"Chapter 3. THE FAULT REQUIREMENT (MENS REA OR NEGLIGENCE)",311,1
"1. INTRODUCTION",311,2
"Stephen, A History of the Criminal Law of England",311,3
"Williams, Criminal Law: The General Part",312,3
"2. SUBJECTIVE/OBJECTIVE DISTINCTION",313,2
"R. v. Zora",313,3
"R. v. Hundal",314,3
"R. v. Walle",315,3
"3. FAULT FOR PUBLIC WELFARE (REGULATORY) OFFENCES",316,2
"(a) Common Law",316,3
"Beaver v. R.",316,4
"R. v. City of Sault Ste. Marie",320,4
"R. v. Wholesale Travel Group Inc",329,4
"R. v. Chapin",336,4
"(b) Charter Standards",341,3
"Reference re. Section 94(2) of the Motor Vehicle Act (B.C.)",342,4
"R. v. Wholesale Travel Group Inc",349,4
"R. v. Transport Robert, R. v. William Cameron Trucking",356,4
"(c) Summary",362,3
"4. FAULT FOR CRIMES",363,2
"(a) Murder",363,3
"(i) Murder under ss. 229(a)(i) and (ii)",364,4
"Simpson v. R.",365,5
"(ii) Murder of an unintended victim: s. 229(b)",367,4
"R. v. Collins",367,5
"(iii) Constructive murder: ss. 229(c) and 230",369,4
"Vaillancourt v. R.",369,5
"R. v. Martineau",376,5
"R. v. Shand",387,5
"(iv) First degree murder: s. 231",393,4
"R. v. Smith",393,5
"R. v. Sundman",399,5
"(b) Subjective Awareness Guaranteed by Charter for Few Crimes",404,3
"5. THREE TYPES OF FAULT FOR CRIMES SINCE CREIGHTON",406,2
"(a) Crimes Requiring Subjective Awareness",406,3
"(i) Common law presumption",406,4
"R. v. H. (A.D.)",407,5
"(ii) Motive",411,4
"(iii) Desire/Purpose",413,4
"R. v. Hibbert",413,5
"(iv) Intention or knowledge",417,4
"R. v. Buzzanga and Durocher",418,5
"R. v. Théroux",427,5
"R. v. Boulanger",430,5
"(v) Recklessness or wilful blindness",432,4
"Sansregret v. R.",433,5
"R. v. Briscoe",437,5
"R. v. Lagace",438,5
"R. v. Blondin",439,5
"(b) Crimes of Objective Fault",442,3
"(i) Criminal negligence: s. 219",443,4
"O’Grady v. Sparling",444,5
"R. v. Tutton and Tutton",444,5
"(ii) Marked departure test",452,4
"R. v. Hundal",452,5
"R. v. Creighton",456,5
"R. v. Beatty",464,5
"R. v. F. (J.)",474,5
"R. c. Javanmardi",476,5
"R. v. Goforth",478,5
"(c) Crimes Based on Predicate Offences",481,3
"R. v. DeSousa",482,4
"R. v. Creighton",490,4
"6. GENERAL REVIEW QUESTIONS",501,2
"Chapter 4. SEXUAL ASSAULT",507,1
"1. RAPE LAWS IN CONTEXT",507,2
"(a) Prior Sexual History",510,3
"(b) Doctrine of Recent Complaint",511,3
"(c) Corroboration",511,3
"(d) Historical Offence of Rape",513,3
"Pappajohn v. R.",513,4
"2. DEFINITION OF SEXUAL ASSAULT (1983)",518,2
"R. v. Chase",519,3
"3. EVIDENCE OF THE COMPLAINANT’S OTHER SEXUAL ACTIVITY",525,2
"R. v. Seaboyer; R. v. Gayme",525,3
"R. v. Darrach (S.C.C.)",538,3
"R. v. Goldfinch",543,3
"R. v. R.V.",545,3
"Craig, Websites of Canada’s “Top Sex Crime Lawyers”",548,3
"Dufraimont, Myth, Inference and Evidence in Sexual Assault Trials",551,3
"4. CONSENT AND MISTAKEN BELIEF IN COMMUNICATED CONSENT",554,2
"R. v. Ewanchuk",558,3
"R. v. Darrach (Ont. C.A.)",572,3
"R. v. Barton",574,3
"R. v. G.F",581,3
"R. v. Hutchinson",590,3
"R. v. Kirkpatrick",591,3
"Chapter 5. MISTAKE",595,1
"1. MISTAKE OF FACT",595,2
"(a) General Principles",595,3
"(b) Charter Standards",595,3
"R. v. Hess; R. v. Nguyen",596,4
"R. v. Morrison",599,4
"(c) As to Nature of Offence",601,3
"R. v. Ladue",602,4
"R. v. Kundeus",604,4
"2. MISTAKE OF LAW",609,2
"(a) Policy Considerations",609,3
"R. v. Campbell and Mlynarchuk",609,4
"(b) Distinguishing Mistake of Law and Fact",614,3
"R. v. Prue; R. v. Baril",614,4
"R. v. MacDonald",618,4
"(c) Colour of Right for Property Offences",620,3
"R. v. Dorosh",621,4
"(d) Officially Induced Error of Law",627,3
"Lévis (City) v. Tétreault",627,4
"3. GENERAL REVIEW QUESTIONS",633,2
"Chapter 6. INCAPACITY",635,1
"1. AGE",635,2
"2. INSANITY (MENTAL DISORDER)",636,2
"(a) Psychiatric Classification: Limited Truths",636,3
"(b) Mental Disorder under Criminal Code",638,3
"Cooper v. R.",642,4
"Kjeldsen v. R",651,4
"R. v. Abbey",652,4
"R. v. Chaulk",654,4
"R. v. Campione",656,4
"(c) Mental Disorder Negativing Mens Rea",659,3
"3. AUTOMATISM",659,2
"R. v. Rabey (Ont. C.A.)",660,3
"Rabey v. R. (S.C.C.)",664,3
"R. v. Parks",667,3
"R. v. Stone",678,3
"R. v. Luedecke",687,3
"R. v. Bouchard-Lebrun",699,3
"R. v. Fontaine",705,3
"4. INTOXICATION",708,2
"(a) Common Law",708,3
"R. v. Tatton",709,4
"Coughlan, Bringing Clarity to the General/Specific Intent Distinction: R. v. Tatton",715,4
"(b) Charter Standards",721,3
"R. v. Daviault",721,4
"R. v. Brown",730,4
"Amended s. 33.1 (2022)",737,4
"Chapter 7. JUSTIFICATIONS AND EXCUSES",739,1
"1. WHY ALLOW COMMON LAW DEFENCES?",739,2
"Stephen, The Nineteenth Century",739,3
"2. AIR OF REALITY FOR DEFENCES",741,2
"R. v. Cinous",741,3
"R. v. Gauthier",744,3
"3. DEFENCE OF PERSON (Criminal Code s. 34)",747,2
"R. v. Lavallee",750,3
"R. v. Malott",760,3
"R. v. Khill (S.C.C.)",764,3
"Editors’ Comments on Canada’s New Self-Defence Regime",775,3
"4. DEFENCE OF PROPERTY (Criminal Code s. 35)",781,2
"R. v. Cormier",781,3
"5. NECESSITY",782,2
"R. v. Dudley and Stevens",782,3
"Perka v. R",786,3
"R. v. Latimer",797,3
"6. DURESS",807,2
"(a) Section 17 and Common Law",807,3
"R. v. Carker (No. 2)",807,4
"R. v. Paquette",809,4
"R. v. Hibbert",814,4
"(b) Charter Standard of Moral Involuntariness",818,3
"R. v. Ruzic",818,4
"R. v. Ryan",829,4
"7. PARTIAL DEFENCES TO MURDER",844,2
"(a) Provocation",844,3
"R. v. Hill",844,4
"R. v. Parent",853,4
"R. v. Tran",855,4
"R. v. Simard",870,4
"(b) Voluntary Intoxication",872,3
"(c) Cumulative Effect on Intent (rolled up charge)",872,3
"R. v. Nealy",872,4
"8. ENTRAPMENT",878,2
"R. v. Mack",878,3
"R. v. Barnes",888,3
"Stuart, Ahmad and Ramelson: Stays for Entrapment Still Mired in Complexity and Resistance",898,3
"Chapter 8. PARTIES TO A CRIME",903,1
"1. CO-PRINCIPALS",903,2
"R. v. Ball",903,3
"2. AIDING AND ABETTING",906,2
"R. v. Laurencelle",906,3
"R. v. Briscoe",910,3
"R. v. Gong",913,3
"R. v. Logan",915,3
"R. v. Gauthier",920,3
"3. COUNSELLING",922,2
"R. v. Cowan",923,3
"4. ACCESSORY AFTER FACT",925,2
"R. v. Duong",925,3
"5. GENERAL REVIEW QUESTION",929,2
"Chapter 9. INCOMPLETE CRIMES",931,1
"1. ATTEMPTS",931,2
"R. v. Ancio",931,3
"R. v. Sorrell and Bondett",933,3
"R. v. Deutsch",938,3
"United States v. Dynar",945,3
"2. CONSPIRACY",949,2
"R. v. Celebrity Enterprises Ltd. (No. 2)",949,3
"R. v. Innocente",951,3
"3. LIABILITY FOR OFFENCE NOT COMMITTED",955,2
"R. c. Déry",955,3
"R. v. Hamilton",959,3
"Chapter 10. GROUP RESPONSIBILITY: CORPORATIONS, CRIMINAL ORGANIZATIONS AND TERRORIST GROUPS",971,1
"1. CORPORATIONS",971,2
"(a) Common Law",971,3
"Canadian Dredge and Dock Co. v. R.",971,4
"(b) Criminal Code Provisions for Organizations (2003)",974,3
"2. CRIMINAL ORGANIZATIONS",976,2
"(a) Biker Violence",976,3
"(b) Participation in Criminal Organization (Gangsterism) (1997)",977,3
"(c) Fiasco of Manitoba Warriors Trial",980,3
"(d) Widening Gangsterism Laws (2001)",981,3
"3. TERRORIST GROUPS",986,2
"(a) 9/11 Attacks",986,3
"(b) Definition of Terrorism",986,3
"(c) Broad New Offences",988,3
"(d) Three-Year Review",990,3
"Table of Cases",993,1
